Código de serie;Categoría de serie;Grupo de serie;Nombre de serie;Descripción de la serie;Metodología de la serie;Unidad de medida;Escala;Geografía (País, Región de Perú);Fuente;Frecuencia;Fecha de creación;Grupo de publicación;Área que publica;Fecha de actualización;Fecha de inicio;Fecha de fin;Memo;
PN00001MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Externos Netos de Corto Plazo (millones S/);https://estadisticas.bcrp.gob.pe/estadisticas/series/documentos/bcrpdataapi.pdf;https://estadisticas.bcrp.gob.pe/estadisticas/series/documentos/bcrpdataapi.pdf;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00002MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Externos Netos de Corto Plazo (millones US$);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00003MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Externos Netos de Corto Plazo - Activos (millones US$);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00004MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Externos Netos de Corto Plazo - Pasivos (millones US$);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00005MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Externos Netos de Largo Plazo (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00006MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Externos Netos de Largo Plazo (millones US$);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00007MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00008MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos - Sector Público (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00009MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos - Sector Público - MN (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00010MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos - Sector Público - ME (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00011MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos - Sector Público - ME (millones US$);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00012MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos - Crédito al Sector Privado (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00013MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos - Crédito al Sector Privado - MN (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00014MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos - Crédito al Sector Privado - ME (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00015MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos - Crédito al Sector Privado - ME (millones US$);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00016MM;Sociedades creadoras de depósito;Cuentas monetarias de las sociedades creadoras de depósito;Activos Internos Netos - Otras Cuentas (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00021MM;Sociedades creadoras de depósito;Liquidez de las sociedades creadoras de depósito (fin de periodo);Liquidez - MN - Dinero - Depósitos a la Vista (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00023MM;Sociedades creadoras de depósito;Liquidez de las sociedades creadoras de depósito (fin de periodo);Liquidez - ME (millones S/);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00025MM;Sociedades creadoras de depósito;Liquidez de las sociedades creadoras de depósito (fin de periodo);Coeficiente de Dolarización de la Liquidez (%);;;;;;BCRP;Mensual;2022-03-24;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00026MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Reservas Internacionales Netas (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00027MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Reservas Internacionales Netas (millones US$);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00028MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Reservas Internacionales Netas - Activos (millones US$);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00029MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Reservas Internacionales Netas - Pasivos (millones US$);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00030MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Externos Netos de Largo Plazo (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00031MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Externos Netos de Largo Plazo (millones US$);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00032MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Externos Netos de Largo Plazo - Créditos (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00033MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Externos Netos de Largo Plazo - Obligaciones (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00034MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Internos Netos (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00035MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Internos Netos - Sistema Financiero (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-2001;Dic-2025;;
PN00038MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Internos Netos - Sistema Financiero - Operaciones de Reporte de Monedas (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00039MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Internos Netos - Sector Público (Neto) (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00040MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Internos Netos - Sector Público (Neto) - Banco de la Nación (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00041MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Internos Netos - Sector Público (Neto) - Gobierno Central (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00042MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Internos Netos - Sector Público (Neto) - Otros (incluye COFIDE) (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00043MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Internos Netos - Sector Público (Neto) - Valores en Poder del Sector Público (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00044MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Activos Internos Netos - Otras Cuentas Netas (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00045MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00046MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias - MN (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00047MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias - MN - Emisión Primaria (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00048MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias - MN - Emisión Primaria - Circulante (millones S/);;;;;;BCRP;Mensual;2022-04-08;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00049MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias - MN - Emisión Primaria - Encaje (millones S/);;;;;;BCRP;Mensual;2022-04-08;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1992;Dic-2025;;
PN00050MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias - MN - Valores Emitidos (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00051MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias - ME (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00052MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias - ME (millones US$);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00053MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias - ME - Empresas Bancarias (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00054MM;Banco Central de Reserva;Cuentas monetarias del Banco Central de Reserva del Perú;Obligaciones Monetarias - ME - Resto (millones S/);;;;;;BCRP;Mensual;2022-04-08;BCRP, Reservas internacionales netas y sistema de pagos (LBTR y CCE) ;Departamento de Estadísticas Monetarias;2026-04-24;Ene-1995;Dic-2025;;
PN00058MM;Otras cuentas monetarias;Cuentas monetarias del sistema financiero;Activos Externos Netos de Corto Plazo - Pasivos (millones US$);;;;;;BCRP;Mensual;2022-04-01;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-14;Ene-1992;Dic-2025;;
PN00059MM;Otras cuentas monetarias;Cuentas monetarias del sistema financiero;Activos Externos Netos de Largo Plazo (millones S/);;;;;;BCRP;Mensual;2022-04-01;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-14;Ene-1992;Dic-2025;;
PN00060MM;Otras cuentas monetarias;Cuentas monetarias del sistema financiero;Activos Externos Netos de Largo Plazo (millones US$);;;;;;BCRP;Mensual;2022-04-01;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-14;Ene-1992;Dic-2025;;
PN00061MM;Otras cuentas monetarias;Cuentas monetarias del sistema financiero;Activos Internos Netos (millones S/);;;;;;BCRP;Mensual;2022-04-01;Sistema financiero y empresas bancarias y expectativas sobre condiciones crediticias;Departamento de Estadísticas Monetarias;2026-04-14;Ene-1992;Dic-2025;;
